country,week,cases_w,deaths_w,deaths_w_back2w,dcfr,ifr_low_w,ifr_med_w,ifr_high_w,det_frac_low,det_frac_med,det_frac_high,inf_death_low,inf_death_med,inf_death_high,inf_case_low,inf_case_med,inf_case_high
united kingdom,2022-01-16,752597.0,1720.0,1422.0,0.0018894574387088973,0.0012626482226877306,0.0017087294878555099,0.0023322865497635847,0.6682596796414332,0.9043492871811485,1.0,1126204.4126376435,832197.2612438723,609702.0969160685,1126204.4126376435,832197.2612438723,609702.0969160685
united kingdom,2022-01-23,650207.0,1591.0,1294.0,0.0019901354491723405,0.0012626482226877306,0.0017087294878555099,0.0023322865497635847,0.6344534103007119,0.8585995935935606,1.0,1024830.1757757459,757287.8031290934,554820.3329179976,1024830.1757757458,757287.8031290935,554820.3329179976
united kingdom,2022-01-30,615493.0,1422.0,999.0,0.0016230891334263753,0.0012626482226877306,0.0017087294878555099,0.0023322865497635847,0.7779290715983377,1.0,1.0,791194.2392580913,584644.9113801888,428335.01745369367,791194.2392580913,584644.9113801888,428335.0174536936
united kingdom,2022-02-06,1341520.0,1294.0,930.0,0.0006932434850020872,0.0012626482226877306,0.0017087294878555099,0.0023322865497635847,1.0,1.0,1.0,736547.1896997245,544264.0316151908,398750.31654848356,736547.1896997247,544264.0316151908,398750.31654848356
united kingdom,2022-02-13,509165.0,999.0,822.0,0.0016144079031355258,0.000855130668176397,0.001163256288524922,0.0015673033400286753,0.5296868694185343,0.7205467009085059,0.9708223906638692,961256.6015822476,706637.056776495,524467.7140705645,961256.6015822475,706637.0567764948,524467.7140705645
united kingdom,2022-02-20,313220.0,930.0,768.0,0.002451950705574357,0.000855130668176397,0.001163256288524922,0.0015673033400286753,0.348755244643504,0.47442074829658337,0.6392067085465907,898108.3576826839,660215.6442875281,490013.63066446903,898108.357682684,660215.6442875281,490013.63066446903
united kingdom,2022-02-27,191954.0,822.0,822.0,0.004282275961949217,0.000855130668176397,0.001163256288524922,0.0015673033400286753,0.19969069620332375,0.27164440098237574,0.36599774371273036,961256.6015822476,706637.056776495,524467.7140705645,961256.6015822476,706637.056776495,524467.7140705645
united kingdom,2022-03-06,318289.0,768.0,1064.0,0.003342873929039332,0.000855130668176397,0.001163256288524922,0.0015673033400286753,0.2558070350030049,0.3479809030247264,0.4688490721751758,1244254.2872062183,914673.7571900128,678873.0508163997,1244254.287206218,914673.7571900128,678873.0508163999
united kingdom,2022-03-13,416512.0,822.0,1155.0,0.002773029348494161,0.0005390085764847103,0.0007524124246889776,0.0011096810302087831,0.19437535948813825,0.2713322976900913,0.40016923398642484,2142823.046587948,1535062.3701853924,1040839.6363977586,2142823.0465879478,1535062.3701853922,1040839.6363977585
united kingdom,2022-03-20,570593.0,1064.0,1332.0,0.002334413496134723,0.0005390085764847103,0.0007524124246889776,0.0011096810302087831,0.23089678729890414,0.322313260240659,0.47535752858102115,2471203.7212598673,1770305.6944475693,1200344.9313262464,2471203.721259868,1770305.6944475693,1200344.9313262466
